request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This keeps the IDR 14433900 minimum protected over the 90-day forecast.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use 3 installments of INR 48741.33. The full schedule stays above the INR 132600 minimum and completes by the requested date.
request_60,133.58,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Wait until 2026-01-15 to pay USD 199.89 in full; paying earlier would risk the USD 400 minimum.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 installments of ZAR 10074.83. The full schedule stays above the ZAR 36700 minimum and completes by the requested date.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This keeps the USD 1300 minimum protected over the 90-day forecast.
request_63,44403.33,not_affordable,not_recommended,none,2026-08-15,none,Do not make this payment by 17 September 2026. No eligible payment option keeps the INR 153500 minimum protected through the 90-day forecast.
request_64,44009.48,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-15,none,Use 3 installments of INR 22082.67. The full schedule stays above the INR 36100 minimum and completes by the requested date.
request_65,5843.41,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. No eligible payment option keeps the ZAR 15500 minimum protected through the 90-day forecast.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This keeps the INR 80700 minimum protected over the 90-day forecast.
request_67,375.07,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Wait until 2024-09-15 to pay USD 2094 in full; paying earlier would risk the USD 1200 minimum.
request_68,1438.15,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment by 16 April 2025. No eligible payment option keeps the USD 1500 minimum protected through the 90-day forecast.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This keeps the EUR 700 minimum protected over the 90-day forecast.
request_70,50516.32,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Wait until 2025-02-15 to pay INR 243900 in full; paying earlier would risk the INR 115000 minimum.
request_71,877474.34,affordable_later,wait,2025-05-15:21451000,2025-05-15,none,Wait until 2025-05-15 to pay IDR 21451000 in full; paying earlier would risk the IDR 8884800 minimum.
request_72,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2026. No eligible payment option keeps the ZAR 12200 minimum protected through the 90-day forecast.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This keeps the INR 103200 minimum protected over the 90-day forecast.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This keeps the ZAR 21900 minimum protected over the 90-day forecast.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use 3 installments of ZAR 9800.27. The full schedule stays above the ZAR 39000 minimum and completes by the requested date.
request_76,797.92,not_affordable,not_recommended,none,,none,Do not make this payment by 30 July 2024. No eligible payment option keeps the USD 1800 minimum protected through the 90-day forecast.
request_77,60186.14,affordable_with_plan,full_payment,2025-11-05:60700,,stop:event_7143,Pay the full INR 60700 on 2025-11-05 after the permitted flexible-spending changes. This keeps the minimum balance protected.
request_78,49878.1,affordable_with_plan,full_payment,2025-10-02:50200,,reduce_to:event_7225:1480,Pay the full INR 50200 on 2025-10-02 after the permitted flexible-spending changes. This keeps the minimum balance protected.
request_79,360.8,not_affordable,not_recommended,none,,none,Do not make this payment by 01 November 2024. No eligible payment option keeps the EUR 1000 minimum protected through the 90-day forecast.
request_80,115265.34,not_affordable,not_recommended,none,,none,Do not make this payment by 21 February 2025. No eligible payment option keeps the INR 121300 minimum protected through the 90-day forecast.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This keeps the USD 1600 minimum protected over the 90-day forecast.
request_82,338.61,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,Wait until 2024-12-15 to pay USD 1405.2 in full; paying earlier would risk the USD 1100 minimum.
request_83,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 June 2025. No eligible payment option keeps the INR 37800 minimum protected through the 90-day forecast.
request_84,25160.8,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Wait until 2026-06-15 to pay INR 95400 in full; paying earlier would risk the INR 91300 minimum.
request_85,809050.19,not_affordable,not_recommended,none,,none,Do not make this payment by 26 April 2024. No eligible payment option keeps the IDR 6396300 minimum protected through the 90-day forecast.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This keeps the INR 84900 minimum protected over the 90-day forecast.
request_87,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. No eligible payment option keeps the INR 185900 minimum protected through the 90-day forecast.
request_88,10715.66,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Use 3 installments of ZAR 9045.23. The full schedule stays above the ZAR 25800 minimum and completes by the requested date.
request_89,9749092.24,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Use 3 installments of IDR 4768746.67. The full schedule stays above the IDR 12534700 minimum and completes by the requested date.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This keeps the ZAR 7600 minimum protected over the 90-day forecast.
request_91,394.04,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,Wait until 2024-11-15 to pay EUR 1927.2 in full; paying earlier would risk the EUR 2100 minimum.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This keeps the ZAR 28100 minimum protected over the 90-day forecast.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. This keeps the USD 1900 minimum protected over the 90-day forecast.
request_94,363.82,not_affordable,not_recommended,none,,none,Do not make this payment by 22 December 2024. No eligible payment option keeps the EUR 600 minimum protected through the 90-day forecast.
request_95,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2025. No eligible payment option keeps the INR 145500 minimum protected through the 90-day forecast.
request_96,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 12 March 2026. No eligible payment option keeps the INR 56500 minimum protected through the 90-day forecast.
request_97,1413.56,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Use 3 installments of ZAR 8145.28. The full schedule stays above the ZAR 29700 minimum and completes by the requested date.
request_98,7825.4,affordable_later,wait,2025-09-15:27148,2025-09-15,none,Wait until 2025-09-15 to pay ZAR 27148 in full; paying earlier would risk the ZAR 30000 minimum.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This keeps the ZAR 49100 minimum protected over the 90-day forecast.
request_100,26711.71,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Use 3 installments of ZAR 12866.19. The full schedule stays above the ZAR 32500 minimum and completes by the requested date.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This keeps the INR 187400 minimum protected over the 90-day forecast.
request_102,1555.26,not_affordable,not_recommended,none,,none,Do not make this payment by 12 June 2026. No eligible payment option keeps the EUR 900 minimum protected through the 90-day forecast.
request_103,7530.59,not_affordable,not_recommended,none,,none,Do not make this payment by 07 October 2024. No eligible payment option keeps the INR 125500 minimum protected through the 90-day forecast.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This keeps the ZAR 24700 minimum protected over the 90-day forecast.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This keeps the INR 73900 minimum protected over the 90-day forecast.
request_106,459.01,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,Wait until 2025-01-15 to pay EUR 2207.7 in full; paying earlier would risk the EUR 1200 minimum.
request_107,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 04 July 2025. No eligible payment option keeps the EUR 1600 minimum protected through the 90-day forecast.
request_108,2741.15,not_affordable,not_recommended,none,,none,Do not make this payment by 26 July 2026. No eligible payment option keeps the ZAR 24100 minimum protected through the 90-day forecast.
request_109,632.13,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use 3 installments of EUR 645.98. The full schedule stays above the EUR 1700 minimum and completes by the requested date.
request_110,20148.61,not_affordable,not_recommended,none,,none,Do not make this payment by 11 October 2025. No eligible payment option keeps the ZAR 11200 minimum protected through the 90-day forecast.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This keeps the IDR 23022800 minimum protected over the 90-day forecast.
request_112,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 June 2024. No eligible payment option keeps the EUR 500 minimum protected through the 90-day forecast.
request_113,27839.04,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Wait until 2026-09-15 to pay INR 36500 in full; paying earlier would risk the INR 82300 minimum.
request_114,64162.61,affordable_with_plan,full_payment,2026-01-04:65300,,stop:event_10559,Pay the full INR 65300 on 2026-01-04 after the permitted flexible-spending changes. This keeps the minimum balance protected.
request_115,14845.6,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Wait until 2024-11-15 to pay INR 80500 in full; paying earlier would risk the INR 38800 minimum.
request_116,12916.5,not_affordable,not_recommended,none,,none,Do not make this payment by 16 April 2025. No eligible payment option keeps the INR 80300 minimum protected through the 90-day forecast.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This keeps the EUR 1000 minimum protected over the 90-day forecast.
request_118,645.91,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Use 3 installments of EUR 255.87. The full schedule stays above the EUR 600 minimum and completes by the requested date.
request_119,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 July 2025. No eligible payment option keeps the INR 151200 minimum protected through the 90-day forecast.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This keeps the IDR 20050300 minimum protected over the 90-day forecast.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This keeps the USD 800 minimum protected over the 90-day forecast.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use 3 installments of IDR 7126773.33. The full schedule stays above the IDR 12588500 minimum and completes by the requested date.
request_123,2506527.36,not_affordable,not_recommended,none,,none,Do not make this payment by 28 March 2026. No eligible payment option keeps the IDR 18091200 minimum protected through the 90-day forecast.
request_124,1401.89,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Use 3 installments of EUR 1076.12. The full schedule stays above the EUR 1600 minimum and completes by the requested date.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This keeps the ZAR 11300 minimum protected over the 90-day forecast.
request_126,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 July 2026. No eligible payment option keeps the INR 129700 minimum protected through the 90-day forecast.
request_127,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 18 October 2024. No eligible payment option keeps the ZAR 41000 minimum protected through the 90-day forecast.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This keeps the ZAR 42600 minimum protected over the 90-day forecast.
request_129,115.31,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. No eligible payment option keeps the USD 800 minimum protected through the 90-day forecast.
request_130,445.77,affordable_later,wait,2024-12-15:1978.8,2024-12-15,none,Wait until 2024-12-15 to pay USD 1978.8 in full; paying earlier would risk the USD 1400 minimum.
request_131,1347.54,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,Use 3 installments of USD 643.14. The full schedule stays above the USD 1100 minimum and completes by the requested date.
request_132,318.79,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,Wait until 2026-01-15 to pay USD 379.86 in full; paying earlier would risk the USD 1100 minimum.
request_133,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 29 March 2024. No eligible payment option keeps the IDR 9986200 minimum protected through the 90-day forecast.
request_134,5466970.06,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Wait until 2025-08-15 to pay IDR 21831000 in full; paying earlier would risk the IDR 15902500 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This keeps the USD 500 minimum protected over the 90-day forecast.
request_136,532.78,affordable_with_plan,full_payment,2024-06-03:560.4,,reduce_to:event_12498:27.2,Pay the full USD 560.4 on 2024-06-03 after the permitted flexible-spending changes. This keeps the minimum balance protected.
request_137,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. No eligible payment option keeps the INR 71800 minimum protected through the 90-day forecast.
request_138,758.34,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,Use 3 installments of EUR 435.74. The full schedule stays above the EUR 2300 minimum and completes by the requested date.
request_139,1311.29,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Use 3 installments of USD 802.88. The full schedule stays above the USD 1500 minimum and completes by the requested date.
request_140,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 04 March 2025. No eligible payment option keeps the ZAR 21600 minimum protected through the 90-day forecast.
request_141,25698.86,not_affordable,not_recommended,none,,none,Do not make this payment by 12 February 2026. No eligible payment option keeps the INR 67300 minimum protected through the 90-day forecast.
request_142,830.08,not_affordable,not_recommended,none,,none,Do not make this payment by 04 February 2025. No eligible payment option keeps the USD 1700 minimum protected through the 90-day forecast.
request_143,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 July 2025. No eligible payment option keeps the ZAR 11300 minimum protected through the 90-day forecast.
request_144,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 26 July 2026. No eligible payment option keeps the USD 600 minimum protected through the 90-day forecast.
request_145,35615.42,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,Use 3 installments of INR 75365.33. The full schedule stays above the INR 155400 minimum and completes by the requested date.
request_146,15799.39,affordable_later,wait,2025-10-15:449400,2025-10-15,none,Wait until 2025-10-15 to pay INR 449400 in full; paying earlier would risk the INR 108600 minimum.
request_147,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 07 June 2026. No eligible payment option keeps the EUR 900 minimum protected through the 90-day forecast.
request_148,8088.02,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,Use 3 installments of ZAR 7710.56. The full schedule stays above the ZAR 20000 minimum and completes by the requested date.
request_149,22402.14,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Use 3 installments of ZAR 12706.03. The full schedule stays above the ZAR 42100 minimum and completes by the requested date.
request_150,331.76,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,Use 3 installments of EUR 171.98. The full schedule stays above the EUR 700 minimum and completes by the requested date.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This keeps the IDR 31633600 minimum protected over the 90-day forecast.
request_152,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 13 April 2025. No eligible payment option keeps the ZAR 11900 minimum protected through the 90-day forecast.
request_153,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 September 2026. No eligible payment option keeps the USD 1400 minimum protected through the 90-day forecast.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use 3 installments of EUR 563.61. The full schedule stays above the EUR 1300 minimum and completes by the requested date.
request_155,25258.96,not_affordable,not_recommended,none,,none,Do not make this payment by 20 May 2025. No eligible payment option keeps the INR 56300 minimum protected through the 90-day forecast.
request_156,8527.01,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Wait until 2026-06-15 to pay ZAR 43076 in full; paying earlier would risk the ZAR 26900 minimum.
request_157,5395278.44,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Wait until 2024-05-15 to pay IDR 23503000 in full; paying earlier would risk the IDR 15714100 minimum.
request_158,235302.33,not_affordable,not_recommended,none,,none,Do not make this payment by 02 October 2025. No eligible payment option keeps the INR 131400 minimum protected through the 90-day forecast.
request_159,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. No eligible payment option keeps the ZAR 8700 minimum protected through the 90-day forecast.
request_160,566.32,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Use 3 installments of EUR 432.05. The full schedule stays above the EUR 1200 minimum and completes by the requested date.
request_161,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. No eligible payment option keeps the IDR 23010400 minimum protected through the 90-day forecast.
request_162,2397074.15,not_affordable,not_recommended,none,,none,Do not make this payment by 26 August 2026. No eligible payment option keeps the IDR 24161100 minimum protected through the 90-day forecast.
request_163,10070305.82,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,Use 3 installments of IDR 6692053.33. The full schedule stays above the IDR 26728700 minimum and completes by the requested date.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use 3 installments of IDR 9366240. The full schedule stays above the IDR 29550500 minimum and completes by the requested date.
request_165,30859.74,not_affordable,not_recommended,none,,none,Do not make this payment by 21 April 2026. No eligible payment option keeps the INR 95000 minimum protected through the 90-day forecast.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use 3 installments of USD 1007.97. The full schedule stays above the USD 1700 minimum and completes by the requested date.
request_167,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 31 May 2025. No eligible payment option keeps the ZAR 31200 minimum protected through the 90-day forecast.
request_168,35106.46,not_affordable,not_recommended,none,2026-01-15,none,Do not make this payment by 16 March 2026. No eligible payment option keeps the INR 114400 minimum protected through the 90-day forecast.
request_169,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 May 2024. No eligible payment option keeps the ZAR 18700 minimum protected through the 90-day forecast.
request_170,31504927.65,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Use 3 installments of IDR 12804480. The full schedule stays above the IDR 24715800 minimum and completes by the requested date.
request_171,60.6,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. No eligible payment option keeps the EUR 500 minimum protected through the 90-day forecast.
request_172,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 July 2024. No eligible payment option keeps the ZAR 27200 minimum protected through the 90-day forecast.
request_173,63303.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,Use 3 installments of INR 39173.33. The full schedule stays above the INR 79100 minimum and completes by the requested date.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use 3 installments of EUR 397.35. The full schedule stays above the EUR 700 minimum and completes by the requested date.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This keeps the EUR 1700 minimum protected over the 90-day forecast.
request_176,369.29,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. No eligible payment option keeps the EUR 600 minimum protected through the 90-day forecast.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. This keeps the USD 1300 minimum protected over the 90-day forecast.
request_178,2830.87,not_affordable,not_recommended,none,,none,Do not make this payment by 12 February 2025. No eligible payment option keeps the EUR 1400 minimum protected through the 90-day forecast.
request_179,8100470.89,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Wait until 2025-07-15 to pay IDR 41648000 in full; paying earlier would risk the IDR 41430800 minimum.
request_180,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 02 September 2026. No eligible payment option keeps the INR 37300 minimum protected through the 90-day forecast.
request_181,419.66,not_affordable,not_recommended,none,,none,Do not make this payment by 07 April 2024. No eligible payment option keeps the USD 2000 minimum protected through the 90-day forecast.
request_182,13140.08,not_affordable,not_recommended,none,,none,Do not make this payment by 26 September 2025. No eligible payment option keeps the ZAR 31100 minimum protected through the 90-day forecast.
request_183,23585126.03,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,Use 3 installments of IDR 9313546.67. The full schedule stays above the IDR 11878300 minimum and completes by the requested date.
request_184,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 30 July 2024. No eligible payment option keeps the INR 110800 minimum protected through the 90-day forecast.
request_185,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. No eligible payment option keeps the EUR 1300 minimum protected through the 90-day forecast.
request_186,4002.46,affordable_later,wait,2026-03-15:26554,2026-03-15,none,Wait until 2026-03-15 to pay ZAR 26554 in full; paying earlier would risk the ZAR 22000 minimum.
request_187,37452.86,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Wait until 2024-11-15 to pay INR 187500 in full; paying earlier would risk the INR 128300 minimum.
